frame.len,frame.protocols,ip.hdr_len,ip.len,ip.flags.rb,ip.flags.df,p.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.ack,tcp.flags.res,tcp.flags.ns,tcp.flags.cwr,tcp.flags.ecn,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,tcp.window_size,tcp.time_delta,Y
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65196,8000,0,2938,0,0,0,0,0,1,0,0,0,0,65536,0.190157000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,1460,452,0,0,0,0,0,1,0,0,0,0,130816,0.000076000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,1460,452,0,0,0,0,0,1,1,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,1460,452,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,1460,452,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65196,1460,446,0,0,0,0,0,1,1,0,0,0,130816,0.000113000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65196,1460,446,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65196,1460,446,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65196,8000,0,5858,0,0,0,0,0,1,0,0,0,0,65536,0.001869000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,52832,8000,0,1,0,0,0,0,0,1,0,1,0,0,0,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65196,1460,446,0,0,0,0,0,1,0,0,0,0,130816,0.000266000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65196,1460,446,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65196,1460,446,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65196,1460,446,0,0,0,0,0,1,1,0,0,0,130816,0.000000000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65194,8000,0,8381,0,0,0,0,0,1,0,0,0,0,64512,0.059744000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65196,8000,0,8381,0,0,0,0,0,1,0,0,0,0,65536,0.057572000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65194,8000,0,12761,0,0,0,0,0,1,0,0,0,0,65536,0.000000000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65194,8000,0,14221,0,0,0,0,0,1,0,0,0,0,65536,0.000000000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65196,8000,0,11301,0,0,0,0,0,1,0,0,0,0,65536,0.000000000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65196,8000,0,14221,0,0,0,0,0,1,0,0,0,0,65536,0.000000000,normal
66,eth:ethertype:ip:tcp,20,52,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65195,8000,0,434,0,0,0,0,0,1,0,0,0,0,65024,0.080756000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65194,8000,0,17141,0,0,0,0,0,1,0,0,0,0,65536,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,1460,452,0,0,0,0,0,1,0,0,0,0,130816,0.000140000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,1460,452,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,1460,452,0,0,0,0,0,1,1,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,1460,452,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,1460,452,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,1460,452,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
